code,row,col,x,y
E02005940,6,2,449686.37615738163,209975.81190886092
E02005941,5,2,450586.5686765474,209328.88733126293
E02005942,5,3,450897.0486326255,208318.6792950811
E02005943,5,4,452430.1311679316,208330.53636892152
E02005944,5,5,454875.6871204658,207925.85831588387
E02005945,4,4,453888.9250325642,207234.92466475826
E02005946,4,6,455725.16284271824,207039.49763455655
E02005947,4,3,451517.96906921844,206637.18474706914
E02005948,4,2,449536.2087736459,207187.80546843962
E02005949,4,5,454469.88916457945,206088.96460670716
E02005950,3,4,452911.1829739279,205774.5680773648
E02005951,2,3,451647.7763887851,204617.80915680085
E02005953,3,3,452702.7141183737,204843.22803253453
E02005954,2,4,453700.5906258006,203916.3887445319
E02005955,1,4,453843.89623338566,202788.53266733963
E02005956,2,5,455354.50083662063,203026.4648992183
E02005957,1,5,455555.5603126155,202350.66631870225
E02007021,2,6,455619.995543983,204433.8818894531
E02007116,3,5,454198.8971921479,205044.37594274833